word,emoji,word_vn_upcase,word_vn,emoji_no_punc
:woman_bouncing_ball_medium_skin_tone:,⛹🏽‍♀️,người phụ nữ và bóng nảy màu da thường,người phụ nữ và bóng nảy màu da thường,woman bouncing ball medium skin tone
:woman_bowing:,🙇‍♀️,người phụ nữ cúi đầu,người phụ nữ cúi đầu,woman bowing
:woman_bowing_dark_skin_tone:,🙇🏿‍♀️,người phụ nữ màu da sẫm cúi đầu,người phụ nữ màu da sẫm cúi đầu,woman bowing dark skin tone
:woman_bowing_light_skin_tone:,🙇🏻‍♀️,người phụ nữ màu da sáng cúi đầu,người phụ nữ màu da sáng cúi đầu,woman bowing light skin tone
:woman_bowing_medium-dark_skin_tone:,🙇🏾‍♀️,người phụ nữ màu da sẫm vừa cúi đầu,người phụ nữ màu da sẫm vừa cúi đầu,woman bowing medium-dark skin tone
:woman_bowing_medium-light_skin_tone:,🙇🏼‍♀️,người phụ nữ màu da sáng vừa cúi đầu,người phụ nữ màu da sáng vừa cúi đầu,woman bowing medium-light skin tone
:woman_bowing_medium_skin_tone:,🙇🏽‍♀️,người phụ nữ màu da thường cúi đầu,người phụ nữ màu da thường cúi đầu,woman bowing medium skin tone
:woman_cartwheeling:,🤸‍♀️,người phụ nữ nhào lộn,người phụ nữ nhào lộn,woman cartwheeling
:woman_cartwheeling_dark_skin_tone:,🤸🏿‍♀️,người phụ nữ màu da sẫm nhào lộn,người phụ nữ màu da sẫm nhào lộn,woman cartwheeling dark skin tone
:woman_cartwheeling_light_skin_tone:,🤸🏻‍♀️,người phụ nữ màu da sáng nhào lộn,người phụ nữ màu da sáng nhào lộn,woman cartwheeling light skin tone
:woman_cartwheeling_medium-dark_skin_tone:,🤸🏾‍♀️,người phụ nữ màu da sẫm vừa nhào lộn,người phụ nữ màu da sẫm vừa nhào lộn,woman cartwheeling medium-dark skin tone
:woman_cartwheeling_medium-light_skin_tone:,🤸🏼‍♀️,người phụ nữ màu da sáng vừa nhào lộn,người phụ nữ màu da sáng vừa nhào lộn,woman cartwheeling medium-light skin tone
:woman_cartwheeling_medium_skin_tone:,🤸🏽‍♀️,người phụ nữ màu da thường nhào lộn,người phụ nữ màu da thường nhào lộn,woman cartwheeling medium skin tone
:woman_climbing:,🧗‍♀️,người phụ nữ leo núi,người phụ nữ leo núi,woman climbing
:woman_climbing_dark_skin_tone:,🧗🏿‍♀️,người phụ nữ màu da sẫm leo núi,người phụ nữ màu da sẫm leo núi,woman climbing dark skin tone
:woman_climbing_light_skin_tone:,🧗🏻‍♀️,người phụ nữ màu da sáng leo núi,người phụ nữ màu da sáng leo núi,woman climbing light skin tone
:woman_climbing_medium-dark_skin_tone:,🧗🏾‍♀️,người phụ nữ màu da sẫm vừa leo núi,người phụ nữ màu da sẫm vừa leo núi,woman climbing medium-dark skin tone
:woman_climbing_medium-light_skin_tone:,🧗🏼‍♀️,người phụ nữ màu da sáng vừa leo núi,người phụ nữ màu da sáng vừa leo núi,woman climbing medium-light skin tone
:woman_climbing_medium_skin_tone:,🧗🏽‍♀️,người phụ nữ màu da thường leo núi,người phụ nữ màu da thường leo núi,woman climbing medium skin tone
:woman_construction_worker:,👷‍♀️,công nhân xây dựng nữ,công nhân xây dựng nữ,woman construction worker
:woman_construction_worker_dark_skin_tone:,👷🏿‍♀️,công nhân xây dựng nữ màu da sẫm,công nhân xây dựng nữ màu da sẫm,woman construction worker dark skin tone
:woman_construction_worker_light_skin_tone:,👷🏻‍♀️,công nhân xây dựng nữ màu da sáng,công nhân xây dựng nữ màu da sáng,woman construction worker light skin tone
:woman_construction_worker_medium-dark_skin_tone:,👷🏾‍♀️,công nhân xây dựng nữ màu da sẫm vừa,công nhân xây dựng nữ màu da sẫm vừa,woman construction worker medium-dark skin tone
:woman_construction_worker_medium-light_skin_tone:,👷🏼‍♀️,công nhân xây dựng nữ màu da sáng vừa,công nhân xây dựng nữ màu da sáng vừa,woman construction worker medium-light skin tone
:woman_construction_worker_medium_skin_tone:,👷🏽‍♀️,công nhân xây dựng nữ màu da thường,công nhân xây dựng nữ màu da thường,woman construction worker medium skin tone
:woman_cook:,👩‍🍳,đầu bếp nữ,đầu bếp nữ,woman cook
:woman_cook_dark_skin_tone:,👩🏿‍🍳,đầu bếp nữ màu da sẫm,đầu bếp nữ màu da sẫm,woman cook dark skin tone
:woman_cook_light_skin_tone:,👩🏻‍🍳,đầu bếp nữ màu da sáng,đầu bếp nữ màu da sáng,woman cook light skin tone
:woman_cook_medium-dark_skin_tone:,👩🏾‍🍳,đầu bếp nữ màu da sẫm vừa,đầu bếp nữ màu da sẫm vừa,woman cook medium-dark skin tone
:woman_cook_medium-light_skin_tone:,👩🏼‍🍳,đầu bếp nữ màu da sáng vừa,đầu bếp nữ màu da sáng vừa,woman cook medium-light skin tone
:woman_cook_medium_skin_tone:,👩🏽‍🍳,đầu bếp nữ màu da thường,đầu bếp nữ màu da thường,woman cook medium skin tone
:woman_curly_hair:,👩‍🦱,người phụ nữ tóc xoăn,người phụ nữ tóc xoăn,woman curly hair
:woman_dancing:,💃,người phụ nữ khiêu vũ,người phụ nữ khiêu vũ,woman dancing
:woman_dancing_dark_skin_tone:,💃🏿,người phụ nữ màu da sẫm khiêu vũ,người phụ nữ màu da sẫm khiêu vũ,woman dancing dark skin tone
:woman_dancing_light_skin_tone:,💃🏻,người phụ nữ màu da sáng khiêu vũ,người phụ nữ màu da sáng khiêu vũ,woman dancing light skin tone
:woman_dancing_medium-dark_skin_tone:,💃🏾,người phụ nữ màu da sẫm vừa khiêu vũ,người phụ nữ màu da sẫm vừa khiêu vũ,woman dancing medium-dark skin tone
:woman_dancing_medium-light_skin_tone:,💃🏼,người phụ nữ màu da sáng vừa khiêu vũ,người phụ nữ màu da sáng vừa khiêu vũ,woman dancing medium-light skin tone
:woman_dancing_medium_skin_tone:,💃🏽,người phụ nữ màu da thường khiêu vũ,người phụ nữ màu da thường khiêu vũ,woman dancing medium skin tone
:woman_dark_skin_tone:,👩🏿,người phụ nữ da sẫm,người phụ nữ da sẫm,woman dark skin tone
:woman_dark_skin_tone_bald:,👩🏿‍🦲,người phụ nữ hói da sẫm,người phụ nữ hói da sẫm,woman dark skin tone bald
:woman_dark_skin_tone_beard:,🧔🏿‍♀️,người phụ nữ có râu da sẫm,người phụ nữ có râu da sẫm,woman dark skin tone beard
:woman_dark_skin_tone_blond_hair:,👱🏿‍♀️,người phụ nữ tóc vàng da sẫm,người phụ nữ tóc vàng da sẫm,woman dark skin tone blond hair
:woman_dark_skin_tone_curly_hair:,👩🏿‍🦱,người phụ nữ tóc xoăn da sẫm,người phụ nữ tóc xoăn da sẫm,woman dark skin tone curly hair
:woman_dark_skin_tone_red_hair:,👩🏿‍🦰,người phụ nữ tóc đỏ da sẫm,người phụ nữ tóc đỏ da sẫm,woman dark skin tone red hair
:woman_dark_skin_tone_white_hair:,👩🏿‍🦳,người phụ nữ tóc trắng da sẫm,người phụ nữ tóc trắng da sẫm,woman dark skin tone white hair
:woman_detective:,🕵️‍♀️,thám tử nữ,thám tử nữ,woman detective
:woman_detective_dark_skin_tone:,🕵🏿‍♀️,thám tử nữ màu da sẫm,thám tử nữ màu da sẫm,woman detective dark skin tone
:woman_detective_light_skin_tone:,🕵🏻‍♀️,thám tử nữ màu da sáng,thám tử nữ màu da sáng,woman detective light skin tone
:woman_detective_medium-dark_skin_tone:,🕵🏾‍♀️,thám tử nữ màu da sẫm vừa,thám tử nữ màu da sẫm vừa,woman detective medium-dark skin tone
:woman_detective_medium-light_skin_tone:,🕵🏼‍♀️,thám tử nữ màu da sáng vừa,thám tử nữ màu da sáng vừa,woman detective medium-light skin tone
:woman_detective_medium_skin_tone:,🕵🏽‍♀️,thám tử nữ màu da thường,thám tử nữ màu da thường,woman detective medium skin tone
:woman_elf:,🧝‍♀️,elf nữ,elf nữ,woman elf
:woman_elf_dark_skin_tone:,🧝🏿‍♀️,elf nữ màu da sẫm,elf nữ màu da sẫm,woman elf dark skin tone
:woman_elf_light_skin_tone:,🧝🏻‍♀️,elf nữ màu da sáng,elf nữ màu da sáng,woman elf light skin tone
:woman_elf_medium-dark_skin_tone:,🧝🏾‍♀️,elf nữ màu da sẫm vừa,elf nữ màu da sẫm vừa,woman elf medium-dark skin tone
:woman_elf_medium-light_skin_tone:,🧝🏼‍♀️,elf nữ màu da sáng vừa,elf nữ màu da sáng vừa,woman elf medium-light skin tone
:woman_elf_medium_skin_tone:,🧝🏽‍♀️,elf nữ màu da thường,elf nữ màu da thường,woman elf medium skin tone
:woman_facepalming:,🤦‍♀️,người phụ nữ lấy tay che mặt,người phụ nữ lấy tay che mặt,woman facepalming
:woman_facepalming_dark_skin_tone:,🤦🏿‍♀️,người phụ nữ màu da sẫm lấy tay che mặt,người phụ nữ màu da sẫm lấy tay che mặt,woman facepalming dark skin tone
:woman_facepalming_light_skin_tone:,🤦🏻‍♀️,người phụ nữ màu da sáng lấy tay che mặt,người phụ nữ màu da sáng lấy tay che mặt,woman facepalming light skin tone
:woman_facepalming_medium-dark_skin_tone:,🤦🏾‍♀️,người phụ nữ màu da sẫm vừa lấy tay che mặt,người phụ nữ màu da sẫm vừa lấy tay che mặt,woman facepalming medium-dark skin tone
:woman_facepalming_medium-light_skin_tone:,🤦🏼‍♀️,người phụ nữ màu da sáng vừa lấy tay che mặt,người phụ nữ màu da sáng vừa lấy tay che mặt,woman facepalming medium-light skin tone
:woman_facepalming_medium_skin_tone:,🤦🏽‍♀️,người phụ nữ màu da thường lấy tay che mặt,người phụ nữ màu da thường lấy tay che mặt,woman facepalming medium skin tone
:woman_factory_worker:,👩‍🏭,nhân viên nhà máy nữ,nhân viên nhà máy nữ,woman factory worker
:woman_factory_worker_dark_skin_tone:,👩🏿‍🏭,nhân viên nhà máy nữ màu da sẫm,nhân viên nhà máy nữ màu da sẫm,woman factory worker dark skin tone
:woman_factory_worker_light_skin_tone:,👩🏻‍🏭,nhân viên nhà máy nữ màu da sáng,nhân viên nhà máy nữ màu da sáng,woman factory worker light skin tone
:woman_factory_worker_medium-dark_skin_tone:,👩🏾‍🏭,nhân viên nhà máy nữ màu da sẫm vừa,nhân viên nhà máy nữ màu da sẫm vừa,woman factory worker medium-dark skin tone
:woman_factory_worker_medium-light_skin_tone:,👩🏼‍🏭,nhân viên nhà máy nữ màu da sáng vừa,nhân viên nhà máy nữ màu da sáng vừa,woman factory worker medium-light skin tone
:woman_factory_worker_medium_skin_tone:,👩🏽‍🏭,nhân viên nhà máy nữ màu da thường,nhân viên nhà máy nữ màu da thường,woman factory worker medium skin tone
:woman_fairy:,🧚‍♀️,tiên nữ,tiên nữ,woman fairy
:woman_fairy_dark_skin_tone:,🧚🏿‍♀️,tiên nữ màu da sẫm,tiên nữ màu da sẫm,woman fairy dark skin tone
:woman_fairy_light_skin_tone:,🧚🏻‍♀️,tiên nữ màu da sáng,tiên nữ màu da sáng,woman fairy light skin tone
:woman_fairy_medium-dark_skin_tone:,🧚🏾‍♀️,tiên nữ màu da sẫm vừa,tiên nữ màu da sẫm vừa,woman fairy medium-dark skin tone
:woman_fairy_medium-light_skin_tone:,🧚🏼‍♀️,tiên nữ màu da sáng vừa,tiên nữ màu da sáng vừa,woman fairy medium-light skin tone
:woman_fairy_medium_skin_tone:,🧚🏽‍♀️,tiên nữ màu da thường,tiên nữ màu da thường,woman fairy medium skin tone
:woman_farmer:,👩‍🌾,nông dân nữ,nông dân nữ,woman farmer
:woman_farmer_dark_skin_tone:,👩🏿‍🌾,nông dân nữ màu da sẫm,nông dân nữ màu da sẫm,woman farmer dark skin tone
:woman_farmer_light_skin_tone:,👩🏻‍🌾,nông dân nữ màu da sáng,nông dân nữ màu da sáng,woman farmer light skin tone
:woman_farmer_medium-dark_skin_tone:,👩🏾‍🌾,nông dân nữ màu da sẫm vừa,nông dân nữ màu da sẫm vừa,woman farmer medium-dark skin tone
:woman_farmer_medium-light_skin_tone:,👩🏼‍🌾,nông dân nữ màu da sáng vừa,nông dân nữ màu da sáng vừa,woman farmer medium-light skin tone
:woman_farmer_medium_skin_tone:,👩🏽‍🌾,nông dân nữ màu da thường,nông dân nữ màu da thường,woman farmer medium skin tone
:woman_feeding_baby:,👩‍🍼,người phụ nữ cho em bé ăn,người phụ nữ cho em bé ăn,woman feeding baby
:woman_feeding_baby_dark_skin_tone:,👩🏿‍🍼,người phụ nữ màu da sẫm cho em bé ăn,người phụ nữ màu da sẫm cho em bé ăn,woman feeding baby dark skin tone
:woman_feeding_baby_light_skin_tone:,👩🏻‍🍼,người phụ nữ màu da sáng cho em bé ăn,người phụ nữ màu da sáng cho em bé ăn,woman feeding baby light skin tone
:woman_feeding_baby_medium-dark_skin_tone:,👩🏾‍🍼,người phụ nữ màu da sẫm vừa cho em bé ăn,người phụ nữ màu da sẫm vừa cho em bé ăn,woman feeding baby medium-dark skin tone
:woman_feeding_baby_medium-light_skin_tone:,👩🏼‍🍼,người phụ nữ màu da sáng vừa cho em bé ăn,người phụ nữ màu da sáng vừa cho em bé ăn,woman feeding baby medium-light skin tone
:woman_feeding_baby_medium_skin_tone:,👩🏽‍🍼,người phụ nữ màu da thường cho em bé ăn,người phụ nữ màu da thường cho em bé ăn,woman feeding baby medium skin tone
:woman_firefighter:,👩‍🚒,lính cứu hoả nữ,lính cứu hoả nữ,woman firefighter
:woman_firefighter_dark_skin_tone:,👩🏿‍🚒,lính cứu hoả nữ màu da sẫm,lính cứu hoả nữ màu da sẫm,woman firefighter dark skin tone
:woman_firefighter_light_skin_tone:,👩🏻‍🚒,lính cứu hoả nữ màu da sáng,lính cứu hoả nữ màu da sáng,woman firefighter light skin tone
:woman_firefighter_medium-dark_skin_tone:,👩🏾‍🚒,lính cứu hoả nữ màu da sẫm vừa,lính cứu hoả nữ màu da sẫm vừa,woman firefighter medium-dark skin tone
:woman_firefighter_medium-light_skin_tone:,👩🏼‍🚒,lính cứu hoả nữ màu da sáng vừa,lính cứu hoả nữ màu da sáng vừa,woman firefighter medium-light skin tone
:woman_firefighter_medium_skin_tone:,👩🏽‍🚒,lính cứu hoả nữ màu da thường,lính cứu hoả nữ màu da thường,woman firefighter medium skin tone
:woman_frowning:,🙍‍♀️,Người phụ nữ cau mày,người phụ nữ cau mày,woman frowning
:woman_frowning_dark_skin_tone:,🙍🏿‍♀️,người phụ nữ cau mày màu da sẫm,người phụ nữ cau mày màu da sẫm,woman frowning dark skin tone
:woman_frowning_light_skin_tone:,🙍🏻‍♀️,người phụ nữ cau mày màu da sáng,người phụ nữ cau mày màu da sáng,woman frowning light skin tone
:woman_frowning_medium-dark_skin_tone:,🙍🏾‍♀️,người phụ nữ cau mày màu da sẫm vừa,người phụ nữ cau mày màu da sẫm vừa,woman frowning medium-dark skin tone
:woman_frowning_medium-light_skin_tone:,🙍🏼‍♀️,người phụ nữ cau mày màu da sáng vừa,người phụ nữ cau mày màu da sáng vừa,woman frowning medium-light skin tone
:woman_frowning_medium_skin_tone:,🙍🏽‍♀️,người phụ nữ cau mày màu da thường,người phụ nữ cau mày màu da thường,woman frowning medium skin tone
:woman_genie:,🧞‍♀️,thần đèn nữ,thần đèn nữ,woman genie
:woman_gesturing_NO:,🙅‍♀️,người phụ nữ làm cử chỉ không,người phụ nữ làm cử chỉ không,woman gesturing NO
:woman_gesturing_NO_dark_skin_tone:,🙅🏿‍♀️,người phụ nữ màu da sẫm làm cử chỉ không,người phụ nữ màu da sẫm làm cử chỉ không,woman gesturing NO dark skin tone
:woman_gesturing_NO_light_skin_tone:,🙅🏻‍♀️,người phụ nữ màu da sáng làm cử chỉ không,người phụ nữ màu da sáng làm cử chỉ không,woman gesturing NO light skin tone
:woman_gesturing_NO_medium-dark_skin_tone:,🙅🏾‍♀️,người phụ nữ màu da sẫm vừa làm cử chỉ không,người phụ nữ màu da sẫm vừa làm cử chỉ không,woman gesturing NO medium-dark skin tone
:woman_gesturing_NO_medium-light_skin_tone:,🙅🏼‍♀️,người phụ nữ màu da sáng vừa làm cử chỉ không,người phụ nữ màu da sáng vừa làm cử chỉ không,woman gesturing NO medium-light skin tone
:woman_gesturing_NO_medium_skin_tone:,🙅🏽‍♀️,người phụ nữ màu da thường làm cử chỉ không,người phụ nữ màu da thường làm cử chỉ không,woman gesturing NO medium skin tone
:woman_gesturing_OK:,🙆‍♀️,người phụ nữ làm cử chỉ ok,người phụ nữ làm cử chỉ ok,woman gesturing OK
:woman_gesturing_OK_dark_skin_tone:,🙆🏿‍♀️,người phụ nữ màu da sẫm làm cử chỉ ok,người phụ nữ màu da sẫm làm cử chỉ ok,woman gesturing OK dark skin tone
:woman_gesturing_OK_light_skin_tone:,🙆🏻‍♀️,người phụ nữ màu da sáng làm cử chỉ ok,người phụ nữ màu da sáng làm cử chỉ ok,woman gesturing OK light skin tone
:woman_gesturing_OK_medium-dark_skin_tone:,🙆🏾‍♀️,người phụ nữ màu da sẫm vừa làm cử chỉ ok,người phụ nữ màu da sẫm vừa làm cử chỉ ok,woman gesturing OK medium-dark skin tone
:woman_gesturing_OK_medium-light_skin_tone:,🙆🏼‍♀️,người phụ nữ màu da sáng vừa làm cử chỉ ok,người phụ nữ màu da sáng vừa làm cử chỉ ok,woman gesturing OK medium-light skin tone
:woman_gesturing_OK_medium_skin_tone:,🙆🏽‍♀️,người phụ nữ màu da thường làm cử chỉ ok,người phụ nữ màu da thường làm cử chỉ ok,woman gesturing OK medium skin tone
:woman_getting_haircut:,💇‍♀️,người phụ nữ đang được cắt tóc,người phụ nữ đang được cắt tóc,woman getting haircut
:woman_getting_haircut_dark_skin_tone:,💇🏿‍♀️,người phụ nữ màu da sẫm đang được cắt tóc,người phụ nữ màu da sẫm đang được cắt tóc,woman getting haircut dark skin tone
:woman_getting_haircut_light_skin_tone:,💇🏻‍♀️,người phụ nữ màu da sáng đang được cắt tóc,người phụ nữ màu da sáng đang được cắt tóc,woman getting haircut light skin tone
:woman_getting_haircut_medium-dark_skin_tone:,💇🏾‍♀️,người phụ nữ màu da sẫm vừa đang được cắt tóc,người phụ nữ màu da sẫm vừa đang được cắt tóc,woman getting haircut medium-dark skin tone
:woman_getting_haircut_medium-light_skin_tone:,💇🏼‍♀️,người phụ nữ màu da sáng vừa đang được cắt tóc,người phụ nữ màu da sáng vừa đang được cắt tóc,woman getting haircut medium-light skin tone
:woman_getting_haircut_medium_skin_tone:,💇🏽‍♀️,người phụ nữ màu da thường đang được cắt tóc,người phụ nữ màu da thường đang được cắt tóc,woman getting haircut medium skin tone
:woman_getting_massage:,💆‍♀️,người phụ nữ nhận được tin nhắn,người phụ nữ nhận được tin nhắn,woman getting massage
:woman_getting_massage_dark_skin_tone:,💆🏿‍♀️,người phụ nữ màu da sẫm nhận được tin nhắn,người phụ nữ màu da sẫm nhận được tin nhắn,woman getting massage dark skin tone
:woman_getting_massage_light_skin_tone:,💆🏻‍♀️,người phụ nữ màu da sáng nhận được tin nhắn,người phụ nữ màu da sáng nhận được tin nhắn,woman getting massage light skin tone
:woman_getting_massage_medium-dark_skin_tone:,💆🏾‍♀️,người phụ nữ màu da sẫm vừa nhận được tin nhắn,người phụ nữ màu da sẫm vừa nhận được tin nhắn,woman getting massage medium-dark skin tone
:woman_getting_massage_medium-light_skin_tone:,💆🏼‍♀️,người phụ nữ màu da sáng vừa nhận được tin nhắn,người phụ nữ màu da sáng vừa nhận được tin nhắn,woman getting massage medium-light skin tone
:woman_getting_massage_medium_skin_tone:,💆🏽‍♀️,người phụ nữ màu da thường nhận được tin nhắn,người phụ nữ màu da thường nhận được tin nhắn,woman getting massage medium skin tone
:woman_golfing:,🏌️‍♀️,người phụ nữ chơi gôn,người phụ nữ chơi gôn,woman golfing
:woman_golfing_dark_skin_tone:,🏌🏿‍♀️,người phụ nữ màu da sẫm chơi gôn,người phụ nữ màu da sẫm chơi gôn,woman golfing dark skin tone
:woman_golfing_light_skin_tone:,🏌🏻‍♀️,người phụ nữ màu da sáng chơi gôn,người phụ nữ màu da sáng chơi gôn,woman golfing light skin tone
:woman_golfing_medium-dark_skin_tone:,🏌🏾‍♀️,người phụ nữ màu da sẫm vừa chơi gôn,người phụ nữ màu da sẫm vừa chơi gôn,woman golfing medium-dark skin tone
:woman_golfing_medium-light_skin_tone:,🏌🏼‍♀️,người phụ nữ màu da sáng vừa chơi gôn,người phụ nữ màu da sáng vừa chơi gôn,woman golfing medium-light skin tone
:woman_golfing_medium_skin_tone:,🏌🏽‍♀️,người phụ nữ màu da thường chơi gôn,người phụ nữ màu da thường chơi gôn,woman golfing medium skin tone
:woman_guard:,💂‍♀️,bảo vệ nữ,bảo vệ nữ,woman guard
:woman_guard_dark_skin_tone:,💂🏿‍♀️,bảo vệ nữ màu da sẫm,bảo vệ nữ màu da sẫm,woman guard dark skin tone
:woman_guard_light_skin_tone:,💂🏻‍♀️,bảo vệ nữ màu da sáng,bảo vệ nữ màu da sáng,woman guard light skin tone
:woman_guard_medium-dark_skin_tone:,💂🏾‍♀️,bảo vệ nữ màu da sẫm vừa,bảo vệ nữ màu da sẫm vừa,woman guard medium-dark skin tone
:woman_guard_medium-light_skin_tone:,💂🏼‍♀️,bảo vệ nữ màu da sáng vừa,bảo vệ nữ màu da sáng vừa,woman guard medium-light skin tone
:woman_guard_medium_skin_tone:,💂🏽‍♀️,bảo vệ nữ màu da thường,bảo vệ nữ màu da thường,woman guard medium skin tone
:woman_health_worker:,👩‍⚕️,nhân viên y tế nữ,nhân viên y tế nữ,woman health worker
:woman_health_worker_dark_skin_tone:,👩🏿‍⚕️,nhân viên y tế nữ màu da sẫm,nhân viên y tế nữ màu da sẫm,woman health worker dark skin tone
:woman_health_worker_light_skin_tone:,👩🏻‍⚕️,nhân viên y tế nữ màu da sáng,nhân viên y tế nữ màu da sáng,woman health worker light skin tone
:woman_health_worker_medium-dark_skin_tone:,👩🏾‍⚕️,nhân viên y tế nữ màu da sẫm vừa,nhân viên y tế nữ màu da sẫm vừa,woman health worker medium-dark skin tone
:woman_health_worker_medium-light_skin_tone:,👩🏼‍⚕️,nhân viên y tế nữ màu da sáng vừa,nhân viên y tế nữ màu da sáng vừa,woman health worker medium-light skin tone
:woman_health_worker_medium_skin_tone:,👩🏽‍⚕️,nhân viên y tế nữ màu da thường,nhân viên y tế nữ màu da thường,woman health worker medium skin tone
:woman_in_lotus_position:,🧘‍♀️,người phụ nữ đang ngồi thiền,người phụ nữ đang ngồi thiền,woman in lotus position
:woman_in_lotus_position_dark_skin_tone:,🧘🏿‍♀️,người phụ nữ màu da sẫm đang ngồi thiền,người phụ nữ màu da sẫm đang ngồi thiền,woman in lotus position dark skin tone
:woman_in_lotus_position_light_skin_tone:,🧘🏻‍♀️,người phụ nữ màu da sáng đang ngồi thiền,người phụ nữ màu da sáng đang ngồi thiền,woman in lotus position light skin tone
:woman_in_lotus_position_medium-dark_skin_tone:,🧘🏾‍♀️,người phụ nữ màu da sẫm vừa đang ngồi thiền,người phụ nữ màu da sẫm vừa đang ngồi thiền,woman in lotus position medium-dark skin tone
:woman_in_lotus_position_medium-light_skin_tone:,🧘🏼‍♀️,người phụ nữ màu da sáng vừa đang ngồi thiền,người phụ nữ màu da sáng vừa đang ngồi thiền,woman in lotus position medium-light skin tone
:woman_in_lotus_position_medium_skin_tone:,🧘🏽‍♀️,người phụ nữ màu da thường đang ngồi thiền,người phụ nữ màu da thường đang ngồi thiền,woman in lotus position medium skin tone
:woman_in_manual_wheelchair:,👩‍🦽,người phụ nữ lăn xe lăn bằng tay,người phụ nữ lăn xe lăn bằng tay,woman in manual wheelchair
:woman_in_manual_wheelchair_dark_skin_tone:,👩🏿‍🦽,người phụ nữ màu da sẫm lăn xe lăn bằng tay,người phụ nữ màu da sẫm lăn xe lăn bằng tay,woman in manual wheelchair dark skin tone
:woman_in_manual_wheelchair_light_skin_tone:,👩🏻‍🦽,người phụ nữ màu da sáng lăn xe lăn bằng tay,người phụ nữ màu da sáng lăn xe lăn bằng tay,woman in manual wheelchair light skin tone
:woman_in_manual_wheelchair_medium-dark_skin_tone:,👩🏾‍🦽,người phụ nữ màu da sẫm vừa lăn xe lăn bằng tay,người phụ nữ màu da sẫm vừa lăn xe lăn bằng tay,woman in manual wheelchair medium-dark skin tone
:woman_in_manual_wheelchair_medium-light_skin_tone:,👩🏼‍🦽,người phụ nữ màu da sáng vừa lăn xe lăn bằng tay,người phụ nữ màu da sáng vừa lăn xe lăn bằng tay,woman in manual wheelchair medium-light skin tone
:woman_in_manual_wheelchair_medium_skin_tone:,👩🏽‍🦽,người phụ nữ màu da thường lăn xe lăn bằng tay,người phụ nữ màu da thường lăn xe lăn bằng tay,woman in manual wheelchair medium skin tone
:woman_in_motorized_wheelchair:,👩‍🦼,người phụ nữ trên xe lăn có động cơ,người phụ nữ trên xe lăn có động cơ,woman in motorized wheelchair
:woman_in_motorized_wheelchair_dark_skin_tone:,👩🏿‍🦼,người phụ nữ trên xe lăn có động cơ màu da sẫm,người phụ nữ trên xe lăn có động cơ màu da sẫm,woman in motorized wheelchair dark skin tone
:woman_in_motorized_wheelchair_light_skin_tone:,👩🏻‍🦼,người phụ nữ trên xe lăn có động cơ màu da sáng,người phụ nữ trên xe lăn có động cơ màu da sáng,woman in motorized wheelchair light skin tone
:woman_in_motorized_wheelchair_medium-dark_skin_tone:,👩🏾‍🦼,người phụ nữ trên xe lăn có động cơ màu da sẫm vừa,người phụ nữ trên xe lăn có động cơ màu da sẫm vừa,woman in motorized wheelchair medium-dark skin tone
:woman_in_motorized_wheelchair_medium-light_skin_tone:,👩🏼‍🦼,người phụ nữ trên xe lăn có động cơ màu da sáng vừa,người phụ nữ trên xe lăn có động cơ màu da sáng vừa,woman in motorized wheelchair medium-light skin tone
:woman_in_motorized_wheelchair_medium_skin_tone:,👩🏽‍🦼,người phụ nữ trên xe lăn có động cơ màu da thường,người phụ nữ trên xe lăn có động cơ màu da thường,woman in motorized wheelchair medium skin tone
:woman_in_steamy_room:,🧖‍♀️,người phụ nữ trong phòng xông hơi,người phụ nữ trong phòng xông hơi,woman in steamy room
:woman_in_steamy_room_dark_skin_tone:,🧖🏿‍♀️,người phụ nữ màu da sẫm trong phòng xông hơi,người phụ nữ màu da sẫm trong phòng xông hơi,woman in steamy room dark skin tone
:woman_in_steamy_room_light_skin_tone:,🧖🏻‍♀️,người phụ nữ màu da sáng trong phòng xông hơi,người phụ nữ màu da sáng trong phòng xông hơi,woman in steamy room light skin tone
:woman_in_steamy_room_medium-dark_skin_tone:,🧖🏾‍♀️,người phụ nữ màu da sẫm vừa trong phòng xông hơi,người phụ nữ màu da sẫm vừa trong phòng xông hơi,woman in steamy room medium-dark skin tone
:woman_in_steamy_room_medium-light_skin_tone:,🧖🏼‍♀️,người phụ nữ màu da sáng vừa trong phòng xông hơi,người phụ nữ màu da sáng vừa trong phòng xông hơi,woman in steamy room medium-light skin tone
:woman_in_steamy_room_medium_skin_tone:,🧖🏽‍♀️,người phụ nữ màu da thường trong phòng xông hơi,người phụ nữ màu da thường trong phòng xông hơi,woman in steamy room medium skin tone
:woman_in_tuxedo:,🤵‍♀️,người phụ nữ mang áo đuôi tôm,người phụ nữ mang áo đuôi tôm,woman in tuxedo
:woman_in_tuxedo_dark_skin_tone:,🤵🏿‍♀️,người phụ nữ màu da sẫm mang áo đuôi tôm,người phụ nữ màu da sẫm mang áo đuôi tôm,woman in tuxedo dark skin tone
:woman_in_tuxedo_light_skin_tone:,🤵🏻‍♀️,người phụ nữ màu da sáng mang áo đuôi tôm,người phụ nữ màu da sáng mang áo đuôi tôm,woman in tuxedo light skin tone
:woman_in_tuxedo_medium-dark_skin_tone:,🤵🏾‍♀️,người phụ nữ màu da sẫm vừa mang áo đuôi tôm,người phụ nữ màu da sẫm vừa mang áo đuôi tôm,woman in tuxedo medium-dark skin tone
